"Gene_Order"	"Gene_EntrezID"	"N_HitLists"	"DE_Prior_Rank"	"Gene_Name"
"129"	1844	47	0.993323596912164	"DUSP2"
"130"	3434	74	0.99327143751304	"IFIT1"
"131"	6947	53	0.993219278113916	"TCN1"
"132"	3397	63	0.993167118714792	"ID1"
"133"	10875	56	0.993114959315669	"FGL2"
"134"	9547	75	0.993036720216983	"CXCL14"
"135"	1602	73	0.993036720216983	"DACH1"
"136"	125	74	0.992958481118298	"ADH1B"
"137"	8553	29	0.992880242019612	"BHLHE40"
"138"	4837	76	0.992880242019612	"NNMT"
"139"	3162	56	0.992802002920926	"HMOX1"
"140"	54855	57	0.992749843521803	"FAM46C"
"141"	8942	77	0.992671604423117	"KYNU"
"142"	3310	35	0.992671604423117	"HSPA6"
"143"	6283	57	0.992593365324431	"S100A12"
"144"	8013	56	0.992515126225746	"NR4A3"
"145"	6351	53	0.992515126225746	"CCL4"
"146"	10125	65	0.99243688712706	"RASGRP1"
"147"	8876	53	0.992358648028375	"VNN1"
"148"	5918	69	0.992358648028375	"RARRES1"
"149"	7145	72	0.992280408929689	"TNS1"
"150"	12	60	0.992228249530565	"SERPINA3"
"151"	2335	92	0.992176090131442	"FN1"
"152"	6095	70	0.992123930732318	"RORA"
"153"	1475	75	0.992071771333194	"CSTA"
"154"	133	72	0.992019611934071	"ADM"
"155"	10457	73	0.991967452534947	"GPNMB"
"156"	56892	63	0.991915293135823	"C8orf4"
"157"	3213	40	0.991863133736699	"HOXB3"
"158"	590	78	0.991810974337576	"BCHE"
"159"	51338	62	0.991758814938452	"MS4A4A"
"160"	51363	52	0.991680575839766	"CHST15"
"161"	3304	32	0.991680575839766	"HSPA1B"
"162"	23213	83	0.991602336741081	"SULF1"
"163"	3880	68	0.991550177341957	"KRT19"
"164"	9768	79	0.991498017942833	"PCLAF"
"165"	586	80	0.99144585854371	"BCAT1"
"166"	4693	26	0.991393699144586	"NDP"
"167"	3553	64	0.991341539745462	"IL1B"
"168"	10874	53	0.991263300646777	"NMU"
"169"	3696	72	0.991263300646777	"ITGB8"
"170"	171024	94	0.991185061548091	"SYNPO2"
"171"	1191	96	0.991132902148967	"CLU"
"172"	27299	66	0.991080742749843	"ADAMDEC1"
"173"	4060	69	0.99102858335072	"LUM"
"174"	2823	60	0.990976423951596	"GPM6A"
"175"	3759	59	0.99089818485291	"KCNJ2"
"176"	2173	42	0.99089818485291	"FABP7"
"177"	240	79	0.990819945754225	"ALOX5"
"178"	4501	44	0.990767786355101	"MT1X"
"179"	25890	75	0.990689547256416	"ABI3BP"
"180"	1804	37	0.990689547256416	"DPP6"
"181"	306	78	0.99061130815773	"ANXA3"
"182"	9590	83	0.990559148758606	"AKAP12"
"183"	25975	35	0.990480909659921	"EGFL6"
"184"	10321	46	0.990480909659921	"CRISP3"
"185"	129607	64	0.990402670561235	"CMPK2"
"186"	5265	75	0.990350511162111	"SERPINA1"
"187"	387763	74	0.990272272063426	"C11orf96"
"188"	10537	54	0.990272272063426	"UBD"
"189"	143686	61	0.990167953265178	"SESN3"
"190"	4026	33	0.990167953265178	"LPP"
"191"	2167	66	0.990063634466931	"FABP4"
"192"	1879	70	0.990063634466931	"EBF1"
"193"	3200	42	0.989985395368245	"HOXA3"
"194"	256691	70	0.989933235969122	"MAMDC2"
"195"	3552	52	0.989881076569998	"IL1A"
"196"	6422	74	0.989828917170874	"SFRP1"
"197"	4069	71	0.98977675777175	"LYZ"
"198"	7035	80	0.989724598372627	"TFPI"
"199"	26585	67	0.989646359273941	"GREM1"
"200"	4939	53	0.989646359273941	"OAS2"
"201"	1675	71	0.989568120175256	"CFD"
"202"	10562	47	0.989515960776132	"OLFM4"
"203"	2619	75	0.989463801377008	"GAS1"
"204"	4318	56	0.989411641977884	"MMP9"
"205"	64332	48	0.989359482578761	"NFKBIZ"
"206"	9841	31	0.989307323179637	"ZBTB24"
"207"	51514	70	0.989229084080951	"DTL"
"208"	3479	44	0.989229084080951	"IGF1"
"209"	445347	48	0.989124765282704	"TARP"
"210"	51203	74	0.989124765282704	"NUSAP1"
"211"	9976	60	0.989046526184018	"CLEC2B"
"212"	3437	68	0.988994366784895	"IFIT3"
"213"	1359	48	0.988942207385771	"CPA3"
"214"	7538	33	0.988890047986647	"ZFP36"
"215"	10403	59	0.988837888587523	"NDC80"
"216"	3119	66	0.9887857291884	"HLA-DQB1"
"217"	3488	84	0.988733569789276	"IGFBP5"
"218"	30061	67	0.98865533069059	"SLC40A1"
"219"	5570	69	0.98865533069059	"PKIB"
"220"	1293	65	0.988577091591905	"COL6A3"
"221"	8614	61	0.988498852493219	"STC2"
"222"	960	73	0.988498852493219	"CD44"
"223"	2012	73	0.988420613394534	"EMP1"
"224"	3624	79	0.98836845399541	"INHBA"
"225"	8842	57	0.988316294596286	"PROM1"
"226"	94122	44	0.988264135197162	"SYTL5"
"227"	338758	29	0.988133736699353	"ATP2B1-AS1"
"228"	55790	61	0.988133736699353	"CSGALNACT1"
"229"	54541	44	0.988133736699353	"DDIT4"
"230"	8076	64	0.988133736699353	"MFAP5"
"231"	10643	76	0.988003338201544	"IGF2BP3"
"232"	83888	54	0.987925099102858	"FGFBP2"
"233"	5099	80	0.987925099102858	"PCDH7"
"234"	3491	66	0.987846860004173	"CYR61"
"235"	5552	82	0.987794700605049	"SRGN"
"236"	22836	60	0.987742541205925	"RHOBTB3"
"237"	7280	48	0.987690381806802	"TUBB2A"
"238"	3371	78	0.987638222407678	"TNC"
"239"	7850	58	0.987559983308992	"IL1R2"
"240"	2205	52	0.987559983308992	"FCER1A"
"241"	1287	58	0.987481744210307	"COL4A5"
"242"	80310	58	0.987377425412059	"PDGFD"
"243"	6622	69	0.987377425412059	"SNCA"
"244"	3486	79	0.987377425412059	"IGFBP3"
"245"	25878	61	0.987273106613812	"MXRA5"
"246"	9332	63	0.987220947214688	"CD163"
"247"	7412	59	0.987168787815564	"VCAM1"
"248"	11009	31	0.987116628416441	"IL24"
"249"	5270	74	0.987038389317755	"SERPINE2"
"250"	4233	66	0.987038389317755	"MET"
"251"	1805	60	0.986960150219069	"DPT"
"252"	57823	53	0.986855831420822	"SLAMF7"
"253"	7049	80	0.986855831420822	"TGFBR3"
"254"	2878	82	0.986855831420822	"GPX3"
"255"	63934	24	0.986751512622575	"ZNF667"
"256"	56253	34	0.986699353223451	"CRTAM"
"257"	6387	75	0.986647193824327	"CXCL12"
"258"	10409	60	0.986595034425203	"BASP1"
"259"	383	35	0.98654287502608	"ARG1"
"260"	155465	49	0.986490715626956	"AGR3"
"261"	91851	71	0.986438556227832	"CHRDL1"
"262"	643911	59	0.986360317129147	"CRNDE"
"263"	85477	56	0.986360317129147	"SCIN"
"264"	759	29	0.986282078030461	"CA1"
"265"	10628	57	0.986151679532652	"TXNIP"
"266"	10418	68	0.986151679532652	"SPON1"
"267"	9076	66	0.986151679532652	"CLDN1"
"268"	5997	65	0.986151679532652	"RGS2"
"269"	26577	66	0.985995201335281	"PCOLCE2"
"270"	10551	58	0.985995201335281	"AGR2"
"271"	3433	62	0.985890882537033	"IFIT2"
"272"	2643	46	0.985890882537033	"GCH1"
"273"	51313	69	0.985812643438348	"FAM198B"
"274"	3002	49	0.985734404339662	"GZMB"
"275"	481	54	0.985734404339662	"ATP1B1"
"276"	9934	44	0.985630085541415	"P2RY14"
"277"	7857	52	0.985630085541415	"SCG2"
"278"	3400	76	0.985551846442729	"ID4"
"279"	29968	69	0.985499687043605	"PSAT1"
"280"	54829	49	0.985447527644482	"ASPN"
"281"	54674	61	0.985395368245358	"LRRN3"
"282"	51316	69	0.985317129146672	"PLAC8"
